from_zone,to_zone,vehicles_per_hour
snv_syd,bbv_west,1
snv_syd,e18_vest,173
snv_syd,e18_ost,152
snv_syd,ring3_nord,65
snv_syd,snv_nordost,43
snv_syd,wideroe_nordvest,108
snv_syd,odd_nansens_vest,23
snv_syd,snv_east,6
snv_syd,martin_linges_sydost,28
snv_syd,rolfsbukt_syd,71
bbv_west,snv_syd,17
bbv_west,e18_vest,1
bbv_west,e18_ost,1
bbv_west,odd_nansens_vest,1
bbv_west,snv_east,30
bbv_west,martin_linges_sydost,4
bbv_west,rolfsbukt_syd,9
e18_vest,snv_syd,137
e18_vest,bbv_west,2
e18_vest,wideroe_nordvest,178
e18_vest,odd_nansens_vest,11
e18_vest,snv_east,10
e18_vest,martin_linges_sydost,30
e18_vest,rolfsbukt_syd,77
e18_ost,snv_syd,120
e18_ost,bbv_west,2
e18_ost,wideroe_nordvest,156
e18_ost,odd_nansens_vest,9
e18_ost,snv_east,9
e18_ost,martin_linges_sydost,27
e18_ost,rolfsbukt_syd,67
ring3_nord,snv_syd,52
ring3_nord,bbv_west,1
ring3_nord,wideroe_nordvest,67
ring3_nord,odd_nansens_vest,4
ring3_nord,snv_east,4
ring3_nord,martin_linges_sydost,11
ring3_nord,rolfsbukt_syd,29
snv_nordost,snv_syd,34
snv_nordost,wideroe_nordvest,45
snv_nordost,odd_nansens_vest,3
snv_nordost,snv_east,3
snv_nordost,martin_linges_sydost,8
snv_nordost,rolfsbukt_syd,19
wideroe_nordvest,snv_syd,398
wideroe_nordvest,bbv_west,6
wideroe_nordvest,e18_vest,209
wideroe_nordvest,e18_ost,182
wideroe_nordvest,ring3_nord,78
wideroe_nordvest,snv_nordost,52
wideroe_nordvest,odd_nansens_vest,31
wideroe_nordvest,snv_east,30
wideroe_nordvest,martin_linges_sydost,89
wideroe_nordvest,rolfsbukt_syd,223
odd_nansens_vest,snv_syd,2
odd_nansens_vest,e18_vest,4
odd_nansens_vest,e18_ost,4
odd_nansens_vest,ring3_nord,2
odd_nansens_vest,snv_nordost,1
odd_nansens_vest,rolfsbukt_syd,1
snv_east,snv_syd,17
snv_east,e18_vest,103
snv_east,e18_ost,91
snv_east,ring3_nord,39
snv_east,snv_nordost,26
snv_east,wideroe_nordvest,65
snv_east,odd_nansens_vest,13
snv_east,martin_linges_sydost,4
snv_east,rolfsbukt_syd,10
martin_linges_sydost,snv_syd,55
martin_linges_sydost,bbv_west,1
martin_linges_sydost,e18_vest,121
martin_linges_sydost,e18_ost,106
martin_linges_sydost,ring3_nord,46
martin_linges_sydost,snv_nordost,30
martin_linges_sydost,wideroe_nordvest,76
martin_linges_sydost,odd_nansens_vest,16
martin_linges_sydost,snv_east,4
martin_linges_sydost,rolfsbukt_syd,47
rolfsbukt_syd,snv_syd,17
rolfsbukt_syd,e18_vest,38
rolfsbukt_syd,e18_ost,33
rolfsbukt_syd,ring3_nord,14
rolfsbukt_syd,snv_nordost,10
rolfsbukt_syd,wideroe_nordvest,24
rolfsbukt_syd,odd_nansens_vest,5
rolfsbukt_syd,snv_east,1
rolfsbukt_syd,martin_linges_sydost,11
